,date,lower,median,upper,canton
12,2022-01-27,11.794035565571269,12.524645727653468,13.30051530971707,BS
13,2022-01-28,12.736403510973815,13.311514224496685,13.91259399062721,BS
0,2022-01-15,0.39954055424335727,0.4517866569422483,0.5108647450759907,GL
1,2022-01-16,0.47899428697275187,0.5535713169879466,0.6397596199497092,GL
2,2022-01-17,0.7452698327720181,0.9104941741641825,1.112348312964,GL
3,2022-01-18,0.16499956543483021,0.20133150292768134,0.24566352016926254,GL
4,2022-01-19,0.07154599934861436,0.0862011904038348,0.10385829109509939,GL
5,2022-01-20,0.060345591593667515,0.07472882850077195,0.09254027778366822,GL
6,2022-01-21,0.021124586161511333,0.028760307571859794,0.03915604714354309,GL
7,2022-01-22,0.22001846175144318,0.26520455677496607,0.31967070569588174,GL
8,2022-01-23,0.06593160572851423,0.07889547926491489,0.0944083885059792,GL
9,2022-01-24,0.06380361974699533,0.09310401639193067,0.1358599700562774,GL
10,2022-01-25,0.11053667381078773,0.13096518310183938,0.15516912707413485,GL
11,2022-01-26,0.4248160415313158,0.5386854027214293,0.6830767549623179,GL
12,2022-01-27,0.15708784482973587,0.19592105491166806,0.2443541051779378,GL
13,2022-01-28,0.1026963511061227,0.13519810920429204,0.17798615564760722,GL
0,2022-01-15,8.215801812029465,8.499586552183006,8.793173595335885,LU
1,2022-01-16,8.330025898360315,8.677376782106638,9.039211730838053,LU
2,2022-01-17,9.159456862562898,9.67590814612826,10.221479270782284,LU
3,2022-01-18,9.265921215277762,9.733725835523499,10.225148308504961,LU
4,2022-01-19,9.667952333097118,10.189413944965901,10.739001700125845,LU
5,2022-01-20,9.801400915226825,10.20344960911127,10.621990144687762,LU
6,2022-01-21,10.151107185006863,10.589682581019087,11.047206489196702,LU
7,2022-01-22,9.899263063710697,10.332609952309946,10.78492689197765,LU
8,2022-01-23,10.34588882945331,10.772552622977209,11.216812004053327,LU
9,2022-01-24,10.162906379008058,10.505602797142423,10.859855046908248,LU
10,2022-01-25,10.216601468838286,10.793842165938072,11.403697115771957,LU
11,2022-01-26,9.282688738944252,9.871701327133023,10.498088413034868,LU
12,2022-01-27,9.26050157387098,9.767511970154242,10.302281072581955,LU
13,2022-01-28,9.556689512323233,9.903522028866453,10.26294183250073,LU
0,2022-01-15,0.6594701245444999,0.6869518239555534,0.7155787515951657,NW
1,2022-01-16,0.24191742911096856,0.2547535656354516,0.2682707874437882,NW
2,2022-01-17,0.3074539571219659,0.3269474199150441,0.3476768241649252,NW
3,2022-01-18,0.23986352104131672,0.25323280817158506,0.26734726004218407,NW
4,2022-01-19,0.541187058869378,0.6256152181893085,0.7232146349688008,NW
5,2022-01-20,0.8025682269357036,0.8827874087448587,0.9710247464118658,NW
6,2022-01-21,0.9634566277456278,1.076719077688178,1.203296483589883,NW
7,2022-01-22,0.8683114542126172,0.9500047631074078,1.039384020040545,NW
8,2022-01-23,1.0249214843154686,1.1061677572166675,1.1938544813732568,NW
9,2022-01-24,1.060411895422928,1.1318249798397084,1.208047354540699,NW
10,2022-01-25,1.076705620770495,1.1589705543518338,1.247520882164048,NW
11,2022-01-26,0.9597957798681338,1.0295231600227956,1.104316104795694,NW
12,2022-01-27,1.0174243893446608,1.0940108498397292,1.1763623440735118,NW
13,2022-01-28,0.985127492599422,1.052167580693523,1.1237698939264285,NW
0,2022-01-15,0.0,0.0,0.0,OW
1,2022-01-16,0.0,0.0,0.0,OW
2,2022-01-17,0.0,0.0,0.0,OW
3,2022-01-18,0.0,0.0,0.0,OW
4,2022-01-19,0.0,0.0,0.0,OW
5,2022-01-20,0.0,0.0,0.0,OW
6,2022-01-21,0.0,0.0,0.0,OW
7,2022-01-22,0.0,0.0,0.0,OW
8,2022-01-23,0.0,0.0,0.0,OW
9,2022-01-24,0.0,0.0,0.0,OW
10,2022-01-25,0.0,0.0,0.0,OW
11,2022-01-26,0.0,0.0,0.0,OW
12,2022-01-27,0.0,0.0,0.0,OW
13,2022-01-28,0.0,0.0,0.0,OW
0,2022-01-15,13.674919375860782,13.95062208616938,14.231883292464849,SG
1,2022-01-16,14.612419508395899,14.935182560702595,15.26507489012007,SG
2,2022-01-17,13.790698528529036,14.093959216667914,14.40388867831237,SG
3,2022-01-18,13.973142455500367,14.586139375495076,15.226028258061532,SG
4,2022-01-19,14.761121649065917,15.252433694375332,15.760098665404414,SG
5,2022-01-20,13.236847142330523,13.616058344179843,14.006133245976871,SG
6,2022-01-21,13.791038455969915,14.406559273810132,15.049551980616815,SG
7,2022-01-22,13.25437661584825,14.193070921169685,15.198244927829114,SG
8,2022-01-23,15.701268261265945,16.255996612465033,16.83032360617526,SG
9,2022-01-24,15.376796957887862,16.223776866723224,17.11740985733728,SG
10,2022-01-25,14.250125222554962,14.84844872251209,15.47189417789136,SG
11,2022-01-26,14.62473885343613,15.298579219019702,16.00346703391777,SG
12,2022-01-27,17.452346015149427,18.1127225021957,18.798086867906832,SG
13,2022-01-28,19.0347565866191,19.5852607488719,20.151686041047146,SG
0,2022-01-15,0.42982082784814246,0.45143745606302066,0.4741412317242421,SH
1,2022-01-16,0.8102626647044202,0.8904599918959953,0.9785950059252317,SH
2,2022-01-17,0.6510164546264924,0.7498697392409227,0.8637333539470372,SH
3,2022-01-18,0.20002099082433966,0.24052702704349205,0.2892358971923503,SH
4,2022-01-19,0.11108285265871354,0.14641263074379285,0.19297900556424633,SH
5,2022-01-20,0.7570129031860955,0.9357035257779287,1.1565735332492921,SH
6,2022-01-21,2.564737034062574,2.9554548511984415,3.4056955007338554,SH
7,2022-01-22,1.9549238072142925,2.259516331215058,2.6115667690919464,SH
8,2022-01-23,2.096429577088673,2.466329456727253,2.901495502447427,SH
9,2022-01-24,1.6379244342523511,2.172058238782139,2.880375244426266,SH
10,2022-01-25,1.4289130078869305,2.237350429927463,3.50317823315155,SH
11,2022-01-26,1.4006875594391412,1.7460356321224753,2.1765313813896214,SH
12,2022-01-27,2.0375655163595305,2.637549137232797,3.4142045472710882,SH
13,2022-01-28,1.5851527679657147,1.8316689950635605,2.1165223789646244,SH
0,2022-01-15,10.312809971556616,10.589712599392277,10.874050161597307,SO
1,2022-01-16,8.716762932014989,9.11790306304543,9.537503419044493,SO
2,2022-01-17,8.844396348901554,9.618405066221346,10.460150401265356,SO
3,2022-01-18,8.61978250553129,9.431980890122588,10.320708608894815,SO
4,2022-01-19,7.310722709719355,8.072772934939938,8.914257241962952,SO
5,2022-01-20,8.527871664696157,9.284074397703005,10.107332850576551,SO
6,2022-01-21,7.424967137495433,8.267644385383521,9.205959086065477,SO
7,2022-01-22,6.515017685643053,7.132882059174065,7.809342802277509,SO
8,2022-01-23,9.635123866344522,10.57993226666373,11.617387417112619,SO
9,2022-01-24,7.284635194570171,7.880370626467387,8.524825135619466,SO
